text,label,notes
"I think what you picked up on is beautiful. I think the important question is not ""won't it be sad if I'm alone in the dump session at the end of my mediocre career"" but rather, ""will I be sad or fulfilled"" regardless of the session.",reaction,ai-prelabeled; human-reviewed
"Please email him and tell him!!! People will always remember how you made them feel, and it would go a long way for him most likely",reaction,ai-prelabeled; human-reviewed
"As a ESL scientist in the US, this made me cry. You’re damn good at writing",reaction,ai-prelabeled; human-reviewed
"It might have been better that no one asked a question because his moment could have dramatically transformed into a crushing and sad memory. Alls well that ends well, here?",reaction,ai-prelabeled; human-reviewed
"LARP is the perfect word lol, I'm so glad to find ppl my age in academia we can communicate in our higher tongue.",reaction,ai-prelabeled; human-reviewed
"Bruh, did he finish his PhD? I’m so tired of sellouts LARPing as philosophers 😭",reaction,ai-prelabeled; human-reviewed
"That's wild, I had no idea that they charge.",reaction,ai-prelabeled; human-reviewed
"I agree with you, I find current state of science community unfortunate... I wish I could live far away from any commities, journals, deadlines etc. Living in a small but modern forest shack sustainably while somehow having a powerful workstation grade homelab down in my basement for work...",reaction,ai-prelabeled; human-reviewed
"Wow, fascinating perspective and thank you for sharing.",reaction,ai-prelabeled; human-reviewed
👏👏👏👏 bravo 100% support this! I’m inspired to do the same!,reaction,ai-prelabeled; human-reviewed
Thank you so much for this detailed response and for all of your insightful points.,reaction,ai-prelabeled; human-reviewed
"Looks cool and innovative, but why oh why didn't they pick a different and original name?",reaction,ai-prelabeled; human-reviewed
"That's a really sharp observation. This hits home for anyone who's bounced between these two worlds. The ""no bottom line"" thing in academia is so real, and it's wild how it lets the pettiest stuff become a massive deal.",reaction,ai-prelabeled; human-reviewed
I have been faced with that reality 😶,reaction,ai-prelabeled; human-reviewed
This feels like a reality check for potential future plans…,reaction,ai-prelabeled; human-reviewed
I work in academic medicine and hard agree with their take as well,reaction,ai-prelabeled; human-reviewed
Thank you!! I was genuinely stunned - I triple read the email to make sure.,reaction,ai-prelabeled; human-reviewed
Congratulations 🎉 This is truly remarkable,reaction,ai-prelabeled; human-reviewed
I didn’t even know that was possible!,reaction,ai-prelabeled; human-reviewed
"W00T!!! Very many congrats! And good job on researching and drafting, gee whiz!!!",reaction,ai-prelabeled; human-reviewed
"Congrats on getting your paper accepted, that is a great accomplishment for any scientist.",reaction,ai-prelabeled; human-reviewed
Mine got accepted with 4 typos only!,reaction,ai-prelabeled; human-reviewed
"Congrats! Livin' the dream, OP!",reaction,ai-prelabeled; human-reviewed
Mind-blowing and inspiring. Congratulations 🎉,reaction,ai-prelabeled; human-reviewed
AND WHAT A WIN THAT IS!!! CONGRATS!!!,reaction,ai-prelabeled; human-reviewed
Congrats on the acceptance and the reviewers confidence!,reaction,ai-prelabeled; human-reviewed
Congratulations!! Keep it up!,reaction,ai-prelabeled; human-reviewed
As a stem person the hate that humanities gets makes me really sad.,reaction,ai-prelabeled; human-reviewed
"That’s honestly so sad to read. Humanities are such a huge part of what makes a university feel like a place for learning, not just job training. It sucks seeing them treated like they don’t matter. Really hope the petition gets some traction,losing those departments would be a huge loss for everyone.",reaction,ai-prelabeled; human-reviewed
This is really cool - I am going to sign up to teach a class :),reaction,ai-prelabeled; human-reviewed
Well the obviously excellent news is the tenure position offer that usually follows,hot_take,ai-prelabeled; human-reviewed
It's actually amazing that a huge chunk of academia has made it basically essential to use an overpriced poorly functioning piece of garbage software,hot_take,ai-prelabeled; human-reviewed
"""Worst piece of software to exist in Academia""",hot_take,ai-prelabeled; human-reviewed
"I say the same thing always, AI is a tool. How you use it is up to you.",hot_take,ai-prelabeled; human-reviewed
Same.. i feel like they all are 'looking down' on people who don't 'embrace' AI.,hot_take,ai-prelabeled; human-reviewed
I’ve found it’s always the old academics that love AI without understanding its limitations.,hot_take,ai-prelabeled; human-reviewed
AI is good if you are satisfied with being a mid-range hack.,hot_take,ai-prelabeled; human-reviewed
Ai is not going away. ‘Turning on AI’ is a fool’s mission. We have to learn to work productively with it,hot_take,ai-prelabeled; human-reviewed
It is the future though,hot_take,ai-prelabeled; human-reviewed
"Ideas don't matter in academia, it's who come up with them who matters.",hot_take,ai-prelabeled; human-reviewed
AI APPPEARS to do lots of work for you - but it can't think and doesn't have a brain.,hot_take,ai-prelabeled; human-reviewed
Sounds to me like academia should be turning off AI.,hot_take,ai-prelabeled; human-reviewed
"These ""academics"" are fucking morons.",hot_take,ai-prelabeled; human-reviewed
"I could not agree more. I even think that AI should not be made commercially available and be excluded from the daily use of the laymen. They say we live in the era of technological adolescence. AI is gonna be the final blow to it, if we let anybody anywhere use it mindlessly and unwisely.",hot_take,ai-prelabeled; human-reviewed
"Yeah, people only want to listen to amazing english only. Ugh. Academia shouldnt be like this.",hot_take,ai-prelabeled; human-reviewed
"That's why conference is useless, overrated. We prepare so much, but for what? Only people who got friends there or want to make 'friends' would be there. They don't really care about our research",hot_take,ai-prelabeled; human-reviewed
It quickly became people selling things instead of explaining things.,hot_take,ai-prelabeled; human-reviewed
"scientific reports, lol, what do you expect to find there… arxiv is free, ieee access is not that expensive, why do you think some are still putting their works on these paid lousy journals…",hot_take,ai-prelabeled; human-reviewed
LLMs such as SHAP can provide insights.,hot_take,ai-prelabeled; human-reviewed
Getting reviews on your papers but not giving them for some moralistic reason is a dick move.,hot_take,ai-prelabeled; human-reviewed
"Yup, my argument (I am a he/him btw not a they), is everyone should boycott reviewing for all journals until something changes and Reviewers are paid and not forced to be de facto slaves who work for free.",hot_take,ai-prelabeled; human-reviewed
"Like Billions in Profit profitable, yet we don't get a penny and the public has to PAY money to read our work.",hot_take,ai-prelabeled; human-reviewed
I think the open access propaganda machine is a bit much. Plenty of open access journals are still super exploitive with their insane fees,hot_take,ai-prelabeled; human-reviewed
"Set up a new publication then, web hosting fees are like $40 per month and copyediting + typesetting l from India is also cheap.",hot_take,ai-prelabeled; human-reviewed
I don’t care. If 10 of my papers got published during the year I will review 10 papers.,hot_take,ai-prelabeled; human-reviewed
"True, so maybe I should leave Academia because it's a Ponzi scheme with only the Publishers and University Admin making money hand over fist on the backs of Authors and Reviewers and Grad Students.",hot_take,ai-prelabeled; human-reviewed
"Yeah, SpringerNature is worse, Open Access fees at Nature just hit almost $13,000 absolutly shameful and disgusting.",hot_take,DIFFICULT: cites $13k but figure is decorative and framing is emotional ('shameful and disgusting') -> hot_take
"Totally agree. If academics posted their research papers on their websites (to be downloaded for a small fee) it would be a great help for them and for the entire global academic community who cannot afford the high subscription rates of peer-reviewed journals. The current system is a ""nice"" scam!",hot_take,ai-prelabeled; human-reviewed
"The meanest, most cruel people I’ve ever met are in academia.",hot_take,ai-prelabeled; human-reviewed
"Lots of people think academia is a meritocracy, which it most definitely isn't.",hot_take,ai-prelabeled; human-reviewed
The academia is a meritocracy. Most things are evaluated and most decisions are justified according to their merits. And most people are doing it in good faith.,hot_take,ai-prelabeled; human-reviewed
not if its in finance. especially quantitative finance. trading. either it makes money or it doesn't.,hot_take,ai-prelabeled; human-reviewed
Even politics has less politics than academia,hot_take,ai-prelabeled; human-reviewed
"Academia is the most evil, corrupt institution I have ever experienced (former nursing faculty).",hot_take,ai-prelabeled; human-reviewed
"If anyone gets through masters without realising how political academia is, then I truly worry for them.",hot_take,ai-prelabeled; human-reviewed
Academics like you using ai to write reddit posts is crazy,hot_take,ai-prelabeled; human-reviewed
"When there is people involved, politics is always involved! Even in your house there are politics. Yes, academia is no exception.",hot_take,ai-prelabeled; human-reviewed
"I have never heard anyone say ""I want to stay in academia because there are no politics"" and have heard the converse countless time. This is a bizarre post",hot_take,ai-prelabeled; human-reviewed
"Academic is absolutely toxic. Even before the current administration, many places had authoritarian and hostile administrators who give us more work, less resources, and increase their own salaries.",hot_take,ai-prelabeled; human-reviewed
Where would science be without philosophy.,hot_take,ai-prelabeled; human-reviewed
"Sounds like a trade school, not a university at that point",hot_take,ai-prelabeled; human-reviewed
I'm STEM but Humanities are what us make human. Alas.,hot_take,ai-prelabeled; human-reviewed
"It’s a way of making only those who are rich and elite the ones who get educated, they are gatekeeping humanities education so only the rich elite have access to them.",hot_take,ai-prelabeled; human-reviewed
Have both stem and social sciences master's. Both guided and grounded in humanities. Imagine a society without history or philosophy. What a clown that Koppell guy is. He shouldn't even be hired as a dog trainer.,hot_take,ai-prelabeled; human-reviewed
Any prospective student who uses an email tracker goes into an immediate no pile.,hot_take,ai-prelabeled; human-reviewed
"They're standard in other parts of the world... it's fair to request you don't want them used on incoming emails, but this is a bit of an overreaction.",hot_take,ai-prelabeled; human-reviewed
lol. So your answer to this is to try to spy on people?,hot_take,ai-prelabeled; human-reviewed
I’m gunna be real with you my dude: you are extremely racist against Persians. It is part of Persian academic culture to ensure that messages are read.,hot_take,ai-prelabeled; human-reviewed
"The UK is incredibly classist, sadly",hot_take,ai-prelabeled; human-reviewed
"Many tenured positions still pay poorly. It's job security, but for what?",hot_take,ai-prelabeled; human-reviewed
"This may surprise you, but most Americans are not doing well; an illness or missed paycheck away from homelessness or bankruptcy.",hot_take,ai-prelabeled; human-reviewed
"Except, we need six figures to be reasonable now.",hot_take,ai-prelabeled; human-reviewed
"""Nobody does this for the money and you're a fool for thinking you should be entitled to a living wage or the right to express a radical critique of a failing system"" is such typical neoliberal cope",hot_take,ai-prelabeled; human-reviewed
"Lol, where do you find quality of life in academia? The pay is low, the pressure is high, you have low job security, and nobody gives a fuck about what we do.",hot_take,ai-prelabeled; human-reviewed
This system is falling apart. Get out when you can. Fast.,hot_take,ai-prelabeled; human-reviewed
Low salary Is just ONE of the problems of modern academia !,hot_take,ai-prelabeled; human-reviewed
"Academia in sciences is definitely better funded + has better industry pathways if you decide to leave academia, and it's for a reason. You don't really get as many transferable skills in academia in humanities.",hot_take,ai-prelabeled; human-reviewed
"Biochemistry major here. Some of my most memorable classes were humanities electives. Critical thinking, anthropology, art appreciation, etc. STEM elitism is a travesty and barrier to becoming a well-rounded individual.",hot_take,DIFFICULT: opinion ('STEM elitism is a travesty') with only thin support -> hot_take over reaction
"Hot take: they wouldn't say that if they weren't sure there was something to it. I've been out of academia for a long time now but in my time big-shot professors could and did get away with all manner of misconduct (plagiarism, abuse of and relationships with students, etc). In my experience there was always fire where there was smoke. I've only ever seen one person go down for it and that was being fired from a company. I think he still has his department position. Even people that were caught red handed, were successfully sued despite the university defending them retained their position and went on as normal.",hot_take,ai-prelabeled; human-reviewed
The world has moved towards an anti intellectual direction.,hot_take,ai-prelabeled; human-reviewed
"I mean, what did you expect. Act accordingly. They dont put in much effort why should you ? Just focus on the ones who care.",hot_take,ai-prelabeled; human-reviewed
"Brah, I thought AI would make things better, but it’s made people so lazy in certain cases.",hot_take,ai-prelabeled; human-reviewed
"Covid generation. entitled. Spoiled. Lazy, not all though",hot_take,ai-prelabeled; human-reviewed
"Oh look, another ""I hate Gen Z and don't know how to adapt"" post.",hot_take,ai-prelabeled; human-reviewed
Hey but if you work outside it you can deal with the same bullshit but make a lot more money and have more work life balance,hot_take,ai-prelabeled; human-reviewed
This is just whataboutism wearing a lab coat.,hot_take,ai-prelabeled; human-reviewed
"It is robbing the nation! As faculty we can adapt but the ones really affected is our nation, the economic outlook, and our national defense.",hot_take,ai-prelabeled; human-reviewed
"How ironic that the party that calls themselves ""pro-life"" is cutting funding for cancer treatment.",hot_take,ai-prelabeled; human-reviewed
"Is it worth it, definitely and I would do it the same way again. It is my second paper in Nature as first author in 8 years. I personally prefer to publish less but in good journals. The first one took less than 12 months to get published, so 18 is on the long side of the review process.",analysis,ai-prelabeled; human-reviewed
"I agree, I think this is the way. Although I don't know much about your group, I know some groups who consistently produce Nature and sub Nature papers. They always stack the SI with a bunch of information to prove their work and their novelty, and the work and amount they put in can already seem like a publishable work from the editors perspective. I am sure your work is novel and great, but is this one of the way??",analysis,ai-prelabeled; human-reviewed
"Thank you! As for your request, I want to remain anonymous so I must decline. Even if matters of anonymity were absent, the article is not yet published. It is accepted for publication which means that it will be published in probably 2 months depending on how fast the editors proof the manuscript.",analysis,ai-prelabeled; human-reviewed
"The phenomenon we studied is familiar to everyone so it felt like the editors could be interested. We discovered a new type of waves, complex multi-disciplinary areas of physics, so scientifically reviewers might be happy with it. That was the mindset, plus the fact is a desk rejection is quick.",analysis,ai-prelabeled; human-reviewed
"As I said in the other comment, the scope of the work is on a phenomenon of everyday's life and we assumed that it is of interest to the editors. We also discovered a new type of waves that is relevant for many apparently disconnected fields and we thought it could be of interest to the reviewers from a novelty point of view.",analysis,ai-prelabeled; human-reviewed
"I did a fairly in-depth review of QDA tools before choosing one for my thesis, and NVivo was the first thing I ruled out. If you're looking at NVivo competitors though, just know that nearly all of them are now AI-heavy, and the whole point of using them is their AI accuracy.",analysis,ai-prelabeled; human-reviewed
"It's not just ""not recommended"". Some institutions just won't allow it - our IRB forbids feeding AI our data. We can't use AI analysis, AI transcription, and we can't even record on video or audio platforms that include AI assistants. We actually had to get handheld recorders.",analysis,ai-prelabeled; human-reviewed
"Just curious, but as a linguist, I was wondering if you have looked at any of the tools we use? For example, Brat, INCEpTION, FLAT, GraphAnno, Glozz, YEDDA, Hexatomic, Inforex, etc. etc. (there are so many of them I could spend all day listing - I also did a survey at one point.) I find that other humanists rarely use them, so we kind of have our own software ecosystem (maybe because they have too many features that other humanists wouldn't use, but you could just ignore them). Most of them run on academic funding and do not push AI.",analysis,ai-prelabeled; human-reviewed
"I switched from Atlas.TI to Dedoose, mostly because of the ease of learning. NVivo was always my least favorite. I am not looking for AI integration either, so for me, Dedoose works great and has a lower learning curve for my grad students.",analysis,ai-prelabeled; human-reviewed
"Yeah exactly - I do mostly thematic analysis which doesn't lend itself to counts and Dedoose feels like it's pushing you into a more ""quanty"" qual (like content analysis). I like that it's cheap and easily cloud-based for multiple users, and I think it would be really solid for mixed methods, but I also don't love the user friendliness in dealing with codes - e.g., I do a lot of clumping and shifting, and it's not great for that. Also the codes remain in a tiny corner of the screen and you can't make it bigger.",analysis,ai-prelabeled; human-reviewed
I've found that it doesn't handle being virtualised (how much unis share software) and tends to corrupt itself quite a lot (although there is a backup file you can often restore to). I also found it doesn't like it if you save your file to a cloud drive.,analysis,ai-prelabeled; human-reviewed
"I went through the love, love-hate and hate-hate relationship stages with Nvivo over the past years and eventually decided to build my own alternative Skimle. The platform covers the core Nvivo (and MAXQDA and Atlas.TI) functionalities of coding text, viewing the results by category and exporting the codebook (both as plain text and as open source REFI-QDA .qdpx files) as well as makes qualitative analysis more accessible to people through proper AI-assisted initial coding.",analysis,ai-prelabeled; human-reviewed
It sounds to me like nobody at this event actually cared very much about it. That’s the real problem. People are overworked and are going to use AI because it’s a lifeline you can tug on when you are drowning.,analysis,ai-prelabeled; human-reviewed
"This is exactly it. If granting agencies, university administrators, etc. would prefer original ideas and that people eschew AI, they need to be pushing for more admin support and less busy work for faculty (and increasingly for grad students and postdocs).",analysis,ai-prelabeled; human-reviewed
"This is a perfect application for AI. Give it the gist, let it spit out some bland content in the correct format, then edit for tone, impact, and accuracy. Many grants now explicitly permit AI for this exact reason. If you’re writing a large grant and have a CV to support getting the grant, it is understood that your writing ability is already above average.",analysis,ai-prelabeled; human-reviewed
"There is some middle ground here I think. Critiquing, enhancing, and augmenting options presented by AI (as you suggest) is certainly a starting point. I take a slightly different view on professionals or experts using AI as a tool, compared with students, who are by definition attempting to build new competencies, using it as a crutch. Your point that experts are not immune to turning off their brain when using AI is well stated though.",analysis,ai-prelabeled; human-reviewed
"One big problem is it is nearly impossible to perfectly discern between someone using an LMM and someone who has a similar writing style to LMMs. LMMs are trained on human writing, they are designed specifically to mimic how we write. Of course, that training has caused a specific style to emerge, but that is a style that many people were trained to write with, especially international students who don't speak english at home. It is even harder to discern if someone used an LMM as an editing tool after completing an assignment versus someone who just asked ChatGPT to write the whole thing for them from scratch. Is cheating rampant? Yes, we have tremendous evidence to suggest that it is. But because the consequences of being accused of using LMMs to cheat are so great, the burden to prove that a particular student is doing so are equally great.",analysis,ai-prelabeled; human-reviewed
"The problem is the ideas are ""good enough"" but not great. It's hard to outright point out things that are false. I did point to numerous newer ideas from '23 and '24 and explicitly said that the AI was suggesting outdated things, but there was little engagement. I was very outvoted by people immediately defending the AI which was also very bizarre behaviour.",analysis,ai-prelabeled; human-reviewed
"This hits uncomfortably close to home. The problem isn’t “AI exists,” it’s that people are using it as an authority substitute instead of a tool. Brainstorming that starts and ends with ChatGPT isn’t brainstorming, it’s outsourcing thinking and calling it efficiency.",analysis,ai-prelabeled; human-reviewed
"Saying ""no one cares"" is a bit generic. The uni here is very strict on using AI, though maybe not all departments are as strict on controlling its use. Students are being failed if they use AI for assignments and the staff is trying to implement work arounds to detect assignments that have been produced with AI.",analysis,ai-prelabeled; human-reviewed
I don't think you understand how bad it is. Many students aren't reading anymore or engaging in critical thinking. This is going to be a disaster for education as students graduate as functionally illiterate. Prior tools led to more critical thinking not less. This is different. I've never seen such widespread cheating and so little care.,analysis,ai-prelabeled; human-reviewed
"It’s like this man experienced in real life the shouting into the void that is publishing. After a 30 years of publishing in prestigious journals and winning book prizes I pick up books and articles in my field, like, exactly in my own precise area of work, even including my own arguments, and there is no mention of my work. At all. It’s so strange. Often other authors are missing too with the same few canon of publications noted. It’s not personal - just poor scholarship - and not entirely endemic, but it happens too often. (Also I’ve just been made redundant in a pretty brutal way for cost cutting reasons, so it’s especially depressing to see this happen recently several times).",analysis,DIFFICULT: emotional ('depressing') but bulk is an argument about poor citation/scholarship -> analysis
"I've never had more than a few questions at an APS parallel session, even for talks that I personally thought were very exciting and that elicited much more at more field-specific conferences. I think maybe it's just the nature of the beast (of April meetings, I'm usually an April meetings person).",analysis,ai-prelabeled; human-reviewed
"In retrospect, maybe benign wasn't the right word choice for what I intended to convey. I was merely trying to distinguish more concisely between active harm and passive harm (I'm tired and wordsmithing is not exactly my strong suit when I'm fully awake). As far as what can be done, it's really just down to conveying to those in charge of organizing and programming that you believe the practice should change. I can't guarantee that it will, but there are people behind the curtain that may be willing to listen.",analysis,ai-prelabeled; human-reviewed
"By APS April Meeting, I'm assuming you mean the combined March/April meeting rebranded as APS Global Physics Summit. For those of you outside of physics, this is not just ""a large physics conference"", but rather the world's largest physics conference with over 15,000 attendees from every branch of physics.",analysis,ai-prelabeled; human-reviewed
"That is difficult. Often when lecturing I try to include statements and information that purposefully leaves a question in attendees’ minds for question time or future discussion. At conferences this has been really handy to get discussion going, and leads to meeting more people in the between times of coffee and lunch breaks. I have seen some like this too though where nobody had a question and for the life of me I couldn’t think of one either, and it was very awkward. Sometimes the presentation just gives the information and leaves nothing to wonder. 🤷🏼‍♀️",analysis,ai-prelabeled; human-reviewed
"Bruh legit. I'm a fresh physics grad who took three courses on quantum mechanics, has been doing quantum computing online courses and hackathons since 2024 and now starting to work on QNetwork projects and only once you rigorously study subjects are you able to see through surface level yap-yap. So many non-physics people (not saying they can't work on it) and esp high schoolers take ""Quantum Computing"" as a hype word and run with it. The field is becoming bloated with so much content and ""revolutionary ideas"" which are just the same old algos or concepts just with some changed code, claiming to fire rockets and change the marsian atmosphere.",analysis,ai-prelabeled; human-reviewed
"I won't bother adding on the paper or the journal but it is worth mentioning that TEDx is not at all the same as TED. They basically created a franchise where anyone can do an event. While some TEDx talks come from credible academics, you as a CS graduate might also be able give a talk on British history. It goes down to the TEDxLocation organisers how they vet talks.",analysis,ai-prelabeled; human-reviewed
That's also a sign of editorial standards issues that OP is highlighting though. If the figures provided by the author were inadequate that should be flagged pre publication.,analysis,ai-prelabeled; human-reviewed
"I think a lot of people don’t realize how bad scientific reports is. Obviously there may be OK papers in there, but they publish anything as long as it’s scientifically “correct”. And even then you see things like this slip through. I have heard anecdotally from graduate students (not from the US/EU) who have said scientific reports was a very high bar for them and it was impressive to publish there for their undergrad/masters.",analysis,ai-prelabeled; human-reviewed
"I think the bigger issue here is the review process, not the author's age. If the technical errors and unsupported claims are as clear as you describe, that's a failure of peer review, and it matters because people will treat publication as validation.",analysis,ai-prelabeled; human-reviewed
"Yeah exactly! The OP hasn't even started grad school, yet went on a rant about the kids these days and hasn't even explained what the relevance of the author's age is. They sound like they will end up being an insufferable labmate in whatever lab they end up working in",analysis,DIFFICULT: borderline venting ('insufferable labmate') but reasons that OP never justified relevance -> analysis
"Not much to add here other than I agree and would likely do the same. I’d probably miss the SHAP bit and don’t generally think about fig quality because first submissions don’t always require publication quality versions. The second point is, for me, the most important but as long as it is discussed as being an early symptom, therefore an early detection target, I’d be fine with it. More than anything, none of this is specific to being a high schooler and I think we all see this from seasoned pros (and probably are ourselves naively guilty of these types of things) from time to time.",analysis,ai-prelabeled; human-reviewed
"So many of my peers on LinkedIn have a bunch of stuff under their Publications section that just links to their arXiv paper. Obviously that doesn't mean it's worthless, but ArXiv isn't even a journal and accepts basically everyone, so I get kind of annoyed when they try to pass it off as published research.",analysis,ai-prelabeled; human-reviewed
"Good marketing for the journal... Good buzz for the publisher brand... Increases submissions (KPI for publishers), and publishers design such journals to retain as many submissions (market share), and all these numbers go into their investor reports (which do not deal with citations or validations/replicability). It is business.... that is the way the entire world is working, take any form of media. Push the headturners forward...15 seconds of fame... Not good for Science? It is like saying YT is not good for Hollywood...eventually everyone gets used by the person with a bag of money. I feel bad for the kid actually.",analysis,ai-prelabeled; human-reviewed
Bruh exactly. It's not even just high schoolers doing this. So many undergrads are out here straight up lying to get ahead. For context I'm an NLP PhD in Boston so I see this firsthand. The worst part is people leveraging these obscure conference tracks just to pad their stats. I know a guy who got a paper into an ICML but its a shared task. Which is great! But then he frames it on his resume like it's a main track or Findings paper. Like it is still an impressive achievement but please please just be honest about it. Learning to do actual rigorous research takes time. It is totally fine to start somewhere smaller. im not going to discourage any bachelors ouyt there but please jhust be honest because people in academia dont like if you oversell yourself. we have been in your position trust us.,analysis,ai-prelabeled; human-reviewed
"Honestly I have wanted the ability to filter out grad student papers for my entire career, too many in engineering are just distractions that drown out anything useful. Many are titled “A 10% efficiency improvement in a Band 7 LTE amplifier”, and I’m ecstatic. Then the paper just ignores half the requirements in the standard to achieve that efficiency. So I have now wasted a limited download on our IEEE license, wasted a half hour skimming through it, and likely will have to defend myself for not achieving similar efficiency come design review time if my boss has only skimmed the titles.",analysis,ai-prelabeled; human-reviewed
"Clearly this person is trying to make a commentary on the overall exploitative cycle of the whole peer-review process and to understand how it came to be this way, not to shirk their research duties.",analysis,ai-prelabeled; human-reviewed
Will they stop submitting their own research articles and expect others to review their work for free though? If you’re going to take a stance like this you also need to stop publishing with these companies and expecting others to review your work for free…,analysis,ai-prelabeled; human-reviewed
It’s obvious hope it got this way the goal is ti have experts in a field vet each others contributions but the cost to start paying per review would be exorbitant. This is part of what makes academia academia like it or not. Also being a journal reviewer or editorial board member is good early career,analysis,ai-prelabeled; human-reviewed
"I think the post is pointing out that the extreme profits places like elsevier make can be shared with reviewers who do the actual work, or just reduce the cost of publishing or viewing articles. It’s right that reviewers aren’t paid AND you have to pay huge open access fees OR pay for a large fee per article you want to read just so publishers can have the largest profit margins across most industries.",analysis,ai-prelabeled; human-reviewed
